,Title,Avg,Units
0,Massflow,0.36296946536720986,kg/s
1,Turbine_Exit,803.7844748858447,C
2,Inlet_Temperature,30.901141552511422,C
3,Pressure_Ratio,3.5609402960244045,%
4,N1,129.6,kRPM
5,N2,38.813835616438354,kRPM
6,Power,30.543515981735162,kW
7,Leakage,-67.69514825182831,%
8,Compressor_Efficiency,64.024229706856,%
9,P_Combined,0.2828718796553417,%
10,Fuel_Flowrate,0.00803834113394216,kg/s
11,Efficiency,8.836703859897472,%
