Purchase Order,line_cost,Order Date
1112TENGEL          ,89.67,2021-11-12
1114TENGEL          ,205.8,2022-11-14
1117TENGEL          ,1237.09,2022-11-17
1121TENGEL          ,62.44,2022-11-21
1122TENGEL          ,27.68,2022-11-22
1128TENGEL          ,279.96999999999997,2022-11-28
1130TENGEL          ,83.6,2021-11-30
1201TENGEL          ,194.48000000000002,2022-12-01
1206TENGEL          ,27.45,2021-12-06
1207TENGEL          ,81.6,2021-12-07
1208TENGEL          ,12.4,2021-12-08
1209TENGEL          ,17.68,2021-12-09
1213TENGEL          ,247.2,2021-12-13
1216TENGEL          ,98.43,2022-12-16
1217TENGEL          ,56.92,2021-12-17
1228TENGEL          ,84.98,2021-12-28
SPI PO 0233         ,60.56,2021-02-25
