,Unnamed: 0.1,Unnamed: 0,elapsed_sec,_time,N1,N2,PR,Turbine_Exit,Power,ACC_NI_CH1_FFT,ACC_NI_CH1_RMS,ACC_NI_CH2_FFT,ACC_NI_CH2_RMS,ACC_NI_CH3_FFT,ACC_NI_CH3_RMS,CV_PLC_Control_Call,CV_PLC_Control_Mode,CV_PLC_Diag,CV_PLC_Fuel_Call,CV_PLC_Fuel_Signal_AO,CV_PLC_Fuel_Temp_Set,CV_PLC_N1_Max,CV_PLC_N2_Max,CV_PLC_Passive_kW,CV_PLC_Stage,CV_PLC_Target_N2,CV_PLC_Volt_Max,DO_PLC_Air_Valve,DO_PLC_Fuel_Enable,DO_PLC_Fuel_Heater,DO_PLC_Igniter,DO_PLC_System_Enable,D_NI_Displacement_Probe_1,FP_NI_Generator_Cooling_Inlet_1,FP_NI_Oil_Sump_Cooling_Inlet_1,FP_PLC_Fuel_1,FP_PLC_Oil_Inlet_1,F_PLC_Axial_Force_1,I_PLC_Phase_1,I_PLC_Phase_2,I_PLC_Phase_3,N_PLC_N1,N_PLC_N2,N_PLC_spare,P_NI_Bellmouth_2,P_NI_Combustor_Can_1,P_NI_Impeller_Exit_1,P_NI_Impeller_Exit_2,P_NI_Impeller_Exit_3,P_NI_Impeller_Exit_4,P_NI_Inlet_Mass_Flow_2,P_NI_Inlet_Mass_Flow_3,P_NI_LP_Inlet_1,P_NI_LP_Inlet_2,P_NI_LP_Outlet_1,P_NI_LP_Outlet_2,P_NI_Lab_Seal_Downstream_1,P_NI_Lab_Seal_Downstream_2,P_NI_Lab_Seal_Downstream_3,P_NI_Lab_Seal_Downstream_4,P_NI_Lab_Seal_Upstream_1,P_NI_Lab_Seal_Upstream_2,P_NI_Lab_Seal_Upstream_3,P_NI_Lab_Seal_Upstream_4,P_NI_Turbine_Diffuser_Exit_2,P_PLC_Bellmouth_1,P_PLC_Inlet_MF,P_PLC_PT_Exit_1,P_PLC_PT_Exit_2,P_PLC_PT_Exit_3,P_PLC_Turbine_Diffuser_Exit_1,T_NI_Bellmouth_3,T_NI_Bellmouth_4,T_NI_Generator_Cooling_Inlet_1,T_NI_Generator_Cooling_Outlet_1,T_NI_Generator_Stator_1,T_NI_Generator_Stator_2,T_NI_Inlet_2,T_NI_LP_Inlet_1,T_NI_LP_Inlet_2,T_NI_LP_Outlet_2,T_NI_N2_Front_Bearing_21,T_NI_Oil_Sump_Cooling_Inlet_1,T_NI_Oil_Sump_Cooling_Outlet_1,T_NI_PT_Exit_1,T_NI_PT_Exit_2,T_NI_PT_Exit_3,T_NI_PT_Exit_4,T_NI_PT_Outlet_Duct_3,T_NI_PT_Outlet_Duct_4,T_NI_PT_Outlet_Duct_5,T_NI_PT_Outlet_Duct_6,T_NI_PT_Outlet_Duct_7,T_NI_Recuperator_HP_Outlet_3,T_NI_Recuperator_HP_Outlet_4,T_NI_Seal_Bypass_1,T_NI_Seal_Bypass_2,T_NI_Seal_Bypass_3,T_NI_Seal_Bypass_4,T_NI_Turbine_Exit_1,T_NI_Turbine_Exit_2,T_PI_Engine_Frame_1,T_PI_Engine_Frame_2,T_PLC_15,T_PLC_16,T_PLC_Bellmouth_1,T_PLC_Bellmouth_2,T_PLC_Fuel_Inlet_1,T_PLC_Inlet_1,T_PLC_LP_Outlet_1,T_PLC_N2_Front_Bearing_1,T_PLC_Oil_Inlet_1,T_PLC_Oil_Outlet_1,T_PLC_PT_Outlet_Duct_1,T_PLC_PT_Outlet_Duct_2,T_PLC_Recuperator_HP_Outlet_1,T_PLC_Recuperator_HP_Outlet_2,T_PLC_Turbine_Exit_1,T_PLC_Turbine_Exit_2,VF_PLC_Fuel,V_PLC_Phase_1,V_PLC_Phase_2,V_PLC_Phase_3,cc_call,cc_control_mode,cc_et,cc_fuel_manual,cc_fuel_setpoint,cc_lb_set,cc_ll,cc_max_dec,cc_max_inc,cc_n2_setpoint,cc_stage,cv_control_mode,cv_et,cv_n1_max,cv_n2_max,cv_pid_d,cv_pid_i,cv_pid_p,cv_stage,cv_v_max,dt_CW_inv_mc_status,dt_i_mc,dt_n_mc,dt_pwr_mc,dt_u_mc,spare_420
2088,2088,2088,201.66333,2023-04-05 20:39:54.493526+00:00,0.0,27.48,2.559121638292623,782.14,15.122,90.24,71.15617032671099,28.8,14.39040727538552,117.76,18.21718704234886,60.0,100.0,0.0,58.31,58.31,70.0,120.0,35.0,15.122,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.67075770346642,-3.439488760621266,1.779112644744384,99.358,39.896,-58.014,51.0,50.674,50.32,0.0,27.48,0.0,0.2472538093713795,143.4601861455742,137.5707880858822,136.6373103416732,131.3419473866005,127.6589562456629,3.972844765175731,3.866692071150928,-0.2040351055246816,0.0494874678957568,-1.789681368147939,-1.701961972803651,136.8579505275758,0.6219025237313005,140.8973640612602,133.7180714333151,149.4005049460007,144.953751656996,142.8661544744112,148.2463855653737,-2.117901895458011,0.254,8.12,157.978,155.156,156.358,-1.09,2293.705063767467,2293.705063767467,18.2235951799941,19.19257189183195,26.96283472500573,26.61884198000626,13.55124879766511,733.2436330695475,726.7223109577534,95.71483578854529,33.64024159721041,27.18095679268156,17.83351930840911,145.6983040076236,143.4077063250074,144.9875830854113,146.806736471055,140.9698577633985,141.409641672359,142.1076387700495,143.8362432306621,143.5668407008912,488.1319714733787,443.1455895072739,172.7101862730224,2293.705063767467,169.4475205134209,146.7843314653823,772.4186164838136,753.954600731289,41.5922,39.796,275.16,60.08,267.3,332.56,60.2,14.7,89.72,34.34,25.0,64.22,140.8,140.74,456.84,514.96,782.14,780.16,0.28,99.664,98.948,99.68,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,202.74,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27553.33333333333,0.0,232.6,59.26
2089,2089,2089,201.809655,2023-04-05 20:39:54.639851+00:00,0.0,27.48,2.561628423390081,782.26,15.158,94.08,71.20324227316351,28.8,14.45389630563701,95.52,18.44785354622845,60.0,100.0,0.0,58.21,58.21,70.0,120.0,35.0,15.158,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.64650140540978,-2.0675543420204,2.019529489676038,98.992,39.974,-57.726,51.06,50.736,50.38,0.0,27.48,0.0,0.2475682533097812,143.6808265005983,137.6352829160663,136.6339158773166,131.4200200259433,127.7064787037647,4.002196287299578,3.896159596941917,-0.206525058986298,0.0417912459499778,-1.791265881289023,-1.718459930605446,136.9394176758004,0.638874673838508,140.9788312440226,133.8266942631083,149.4887611416277,144.9707239937902,143.0053276095547,148.3380362185895,-2.130804355095471,0.256,8.12,158.232,155.364,156.552,-1.09,2293.703002305321,2293.703002305321,18.22336316586481,19.19326738759585,26.95423490634199,26.73063962249097,13.54324040224517,733.3860155837081,726.8731278221461,95.9097661955563,33.67730158142262,27.19536593389114,17.83816097831461,145.9831912034374,143.6401895427171,145.2364463283229,147.0022804979142,141.1964459613972,141.6369700332374,142.3340752217089,144.1153954686061,143.8178950146077,488.5009269568121,443.5255049404503,173.0062168660889,2293.703002305321,169.723607288141,147.0257216010015,772.5297092957659,754.0645185473006,41.6406,39.83,279.14,63.82,264.5,331.34,60.2,14.7,89.78,34.36,25.0,64.28,140.9,140.86,457.06,515.14,782.26,780.24,0.28,99.786,99.072,99.8,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,202.86,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27585.0,0.0,232.9,59.26
2090,2090,2090,201.812111,2023-04-05 20:39:54.642307+00:00,0.0,27.48,2.56413520848754,782.38,15.194,97.92,71.25031421961604,28.8,14.5173853358885,73.28,18.67852005010805,60.0,100.0,0.0,58.11,58.11,70.0,120.0,35.0,15.194,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.62224510735315,-0.6956199234195344,2.259946334607692,98.626,40.052,-57.438,51.12,50.798,50.44,0.0,27.48,0.0,0.247882697248183,143.9014668556224,137.6997777462504,136.63052141296,131.4980926652862,127.7540011618666,4.031547809423425,3.925627122732906,-0.2090150124479144,0.0340950240041987,-1.792850394430108,-1.734957888407242,137.0208848240251,0.6558468239457156,141.0602984267849,133.9353170929014,149.5770173372548,144.9876963305845,143.1445007446981,148.4296868718054,-2.14370681473293,0.258,8.12,158.486,155.572,156.746,-1.09,2293.700940843174,2293.700940843174,18.22313115173551,19.19396288335975,26.94563508767825,26.84243726497567,13.53523200682523,733.5283980978685,727.0239446865389,96.10469660256732,33.71436156563483,27.20977507510074,17.8428026482201,146.2680783992511,143.8726727604268,145.4853095712345,147.1978245247733,141.4230341593959,141.8642983941158,142.5605116733682,144.39454770655,144.0689493283243,488.8698824402455,443.9054203736267,173.3022474591555,2293.700940843174,169.999694062861,147.2671117366207,772.6408021077182,754.1744363633122,41.689,39.864,283.12,67.56,261.7,330.12,60.2,14.7,89.84,34.38,25.0,64.34,141.0,140.98,457.28,515.32,782.38,780.3199999999999,0.28,99.908,99.196,99.92,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,202.98,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27619.0,0.0,233.18,59.26
2091,2091,2091,201.871776,2023-04-05 20:39:54.701972+00:00,0.0,27.48,2.566641993584999,782.5,15.23,101.76,71.29738616606856,28.8,14.58087436613998,51.03999999999999,18.90918655398765,60.0,100.0,0.0,58.01,58.01,70.0,120.0,35.0,15.23,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.59798880929652,0.676314495181332,2.500363179539347,98.26,40.13,-57.15,51.18,50.86,50.5,0.0,27.48,0.0,0.2481971411865847,144.1221072106465,137.7642725764345,136.6271269486035,131.5761653046291,127.8015236199685,4.060899331547272,3.955094648523896,-0.2115049659095308,0.0263988020584196,-1.794434907571193,-1.751455846209037,137.1023519722498,0.6728189740529231,141.1417656095473,134.0439399226946,149.6652735328819,145.0046686673788,143.2836738798416,148.5213375250213,-2.15660927437039,0.26,8.12,158.74,155.78,156.94,-1.09,2293.698879381028,2293.698879381028,18.22289913760621,19.19465837912366,26.93703526901451,26.95423490746037,13.52722361140529,733.670780612029,727.1747615509316,96.29962700957834,33.75142154984704,27.22418421631033,17.8474443181256,146.5529655950649,144.1051559781365,145.7341728141461,147.3933685516325,141.6496223573945,142.0916267549942,142.7869481250276,144.673699944494,144.3200036420409,489.238837923679,444.2853358068032,173.598278052222,2293.698879381028,170.2757808375811,147.5085018722399,772.7518949196703,754.2843541793237,41.74275,39.91175,287.1,71.3,258.9,328.9,60.2,14.7,89.9,34.4,25.0,64.4,141.1,141.1,457.5,515.5,782.5,780.4,0.28,100.03,99.32,100.04,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,203.1,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27653.0,0.0,233.46,59.26
2092,2092,2092,202.044612,2023-04-05 20:39:54.874808+00:00,0.0,27.555,2.568196397730077,782.6,15.2725,105.6,71.3444581125211,28.8,14.64436339639147,28.8,19.13985305786724,60.0,100.0,0.0,58.0,58.0,70.0,120.0,35.0,15.2725,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.57373251123988,2.048248913782197,2.740780024471001,98.14,40.13,-57.2225,51.2475,50.9275,50.5725,0.0,27.555,0.0,0.2485115851249865,144.3427475656706,137.8287674066186,136.6237324842469,131.6542379439719,127.8490460780703,4.090250853671119,3.984562174314886,-0.2139949193711473,0.0187025801126406,-1.796019420712277,-1.767953804010832,137.1838191204745,0.6897911241601307,141.2232327923097,134.1525627524878,149.753529728509,145.0216410041731,143.422847014985,148.6129881782372,-2.16951173400785,0.26,8.12,158.8975,155.94,157.09,-1.09,2293.696817918881,2293.696817918881,18.22266712347691,19.19535387488756,26.92843545035077,27.06603254994508,13.51921521598535,733.8131631261895,727.3255784153245,96.49455741658936,33.78848153405926,27.23859335751993,17.85208598803109,146.8378527908787,144.3376391958462,145.9830360570577,147.5889125784916,141.8762105553932,142.3189551158726,143.013384576687,144.9528521824379,144.5710579557574,489.6077934071124,444.6652512399796,173.8943086452886,2293.696817918881,170.5518676123012,147.749892007859,772.8629877316226,754.3942719953353,41.7965,39.9595,280.275,68.825,257.15,328.125,60.15000000000001,14.7,90.025,34.425,25.0,64.42500000000001,141.25,141.4,457.725,515.675,782.6,780.5,0.28,100.1775,99.46,100.1825,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,203.225,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27687.0,0.0,233.74,59.26
2093,2093,2093,202.170391,2023-04-05 20:39:55.000587+00:00,0.0,27.63,2.569750801875154,782.7,15.315,79.19999999999999,70.72630306915187,28.8,14.74045093518513,28.8,18.6874227858502,60.0,100.0,0.0,57.99,57.99,70.0,120.0,35.0,15.315,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.54947621318324,3.420183332383063,2.981196869402655,98.02,40.13,-57.295,51.315,50.995,50.645,0.0,27.63,0.0,0.2488260290633882,144.5633879206947,137.8932622368027,136.6203380198903,131.7323105833148,127.8965685361722,4.119602375794966,4.014029700105875,-0.2164848728327637,0.0110063581668615,-1.797603933853361,-1.784451761812627,137.2652862686992,0.7067632742673382,141.304699975072,134.2611855822809,149.841785924136,145.0386133409673,143.5620201501285,148.7046388314531,-2.18241419364531,0.26,8.12,159.055,156.1,157.24,-1.09,2293.694756456735,2293.694756456735,18.22243510934761,19.19604937065146,26.91983563168702,27.17783019242978,13.51120682056541,733.95554564035,727.4763952797172,96.6894878236004,33.82554151827147,27.25300249872952,17.85672765793659,147.1227399866924,144.5701224135559,146.2318992999693,147.7844566053508,142.1027987533918,142.546283476751,143.2398210283463,145.2320044203819,144.822112269474,489.9767488905458,445.045166673156,174.1903392383552,2293.694756456735,170.8279543870213,147.9912821434782,772.9740805435749,754.5041898113469,41.85025,40.00725,273.45,66.35,255.4,327.35,60.1,14.7,90.15,34.45,25.0,64.45,141.4,141.7,457.95,515.85,782.7,780.5999999999999,0.28,100.325,99.6,100.325,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,203.35,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27721.0,0.0,234.02,59.26
2094,2094,2094,202.326147,2023-04-05 20:39:55.156343+00:00,0.0,27.705,2.571305206020232,782.8,15.3575,52.8,70.10814802578265,28.8,14.83653847397878,28.8,18.23499251383316,60.0,100.0,0.0,57.98,57.98,70.0,120.0,35.0,15.3575,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.46972045905251,5.846919777474261,2.766832013019728,97.9,40.13,-57.3675,51.3825,51.0625,50.7175,0.0,27.705,0.0,0.2498061143172099,144.9367793427973,137.8932622368027,136.5354764125459,131.7832275235553,127.9856731477628,4.098719867753845,3.988506644386528,-0.2074304964845725,0.0084598142135061,-1.789398419270678,-1.756172462728646,137.2186123811595,0.7067632742673382,141.2368106556157,134.1763239956172,149.7526811108293,144.9961824991752,143.6214233205297,148.6579648869947,-2.170813298019889,0.26,8.12,159.2125,156.26,157.39,-1.09,2293.694756456735,2293.694756456735,18.22243510934761,19.19604937065146,27.14558087451894,26.67259085763013,13.51120682056541,733.95554564035,727.4763952797172,96.6894878236004,33.82554151827147,27.25300249872952,17.85672765793659,147.1227399866924,144.5701224135559,146.2318992999693,147.7844566053508,142.1027987533918,142.546283476751,143.2398210283463,145.2320044203819,144.822112269474,489.9767488905458,445.045166673156,174.1903392383552,2293.694756456735,170.8279543870213,147.9912821434782,772.9740805435749,754.5041898113469,41.904,40.055,266.625,63.875,253.65,326.575,60.05,14.7,90.275,34.475,25.0,64.475,141.55,142.0,458.175,516.0250000000001,782.8,780.6999999999999,0.28,100.4725,99.74,100.4675,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,203.475,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27755.0,0.0,234.3,59.26
2095,2095,2095,202.421655,2023-04-05 20:39:55.251851+00:00,0.0,27.78,2.57285961016531,782.9,15.4,26.40000000000001,69.48999298241344,28.8,14.93262601277244,28.8,17.78256224181611,60.0,100.0,0.0,57.97,57.97,70.0,120.0,35.0,15.4,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.38996470492178,8.27365622256546,2.5524671566368,97.78,40.13,-57.44,51.45,51.13,50.79,0.0,27.78,0.0,0.2507861995710316,145.3101707648999,137.8932622368027,136.4506148052015,131.8341444637958,128.0747777593534,4.077837359712723,3.96298358866718,-0.1983761201363814,0.0059132702601507,-1.781192904687996,-1.727893163644664,137.1719384936199,0.7067632742673382,141.1689213361593,134.0914624089535,149.6635762975226,144.953751657383,143.6808264909309,148.6112909425364,-2.159212402394469,0.26,8.12,159.37,156.42,157.54,-1.09,2293.694756456735,2293.694756456735,18.22243510934761,19.19604937065146,27.37132611735086,26.16735152283047,13.51120682056541,733.95554564035,727.4763952797172,96.6894878236004,33.82554151827147,27.25300249872952,17.85672765793659,147.1227399866924,144.5701224135559,146.2318992999693,147.7844566053508,142.1027987533918,142.546283476751,143.2398210283463,145.2320044203819,144.822112269474,489.9767488905458,445.045166673156,174.1903392383552,2293.694756456735,170.8279543870213,147.9912821434782,772.9740805435749,754.5041898113469,41.904,40.055,259.8,61.4,251.9,325.8,60.0,14.7,90.4,34.5,25.0,64.5,141.7,142.3,458.4,516.2,782.9,780.8,0.28,100.62,99.88,100.61,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,203.6,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27789.0,0.0,234.58,59.26
2096,2096,2096,202.49348,2023-04-05 20:39:55.323676+00:00,0.0,27.78,2.573303725635332,782.9666666666667,15.425,0.0,68.87183793904421,28.8,15.0287135515661,28.8,17.33013196979907,60.0,100.0,0.0,57.88666666666666,57.88666666666666,70.0,120.0,35.0,15.425,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.31020895079104,10.70039266765666,2.338102300253873,97.51666666666668,40.14,-57.15,51.49166666666667,51.17333333333333,50.82666666666667,0.0,27.78,0.0,0.2517662848248533,145.6835621870025,137.8932622368027,136.3657531978571,131.8850614040362,128.1638823709441,4.056954851671602,3.937460532947832,-0.1893217437881902,0.0033667263067953,-1.772987390105313,-1.699613864560683,137.1252646060803,0.7067632742673382,141.101032016703,134.0066008222898,149.5744714842158,144.9113208155909,143.7402296613321,148.5646169980781,-2.147611506769048,0.26,8.12,159.415,156.42,157.54,-1.09,2293.694756456735,2293.694756456735,18.22243510934761,19.19604937065146,27.59707136018278,25.66211218803081,13.51120682056541,733.95554564035,727.4763952797172,96.6894878236004,33.82554151827147,27.25300249872952,17.85672765793659,147.1227399866924,144.5701224135559,146.2318992999693,147.7844566053508,142.1027987533918,142.546283476751,143.2398210283463,145.2320044203819,144.822112269474,489.9767488905458,445.045166673156,174.1903392383552,2293.694756456735,170.8279543870213,147.9912821434782,772.9740805435749,754.5041898113469,41.904,40.055,265.9166666666667,56.41666666666666,250.7833333333333,328.2333333333333,60.0,14.68333333333333,90.46666666666668,34.51666666666667,25.0,64.51666666666667,141.7833333333333,142.3833333333334,458.55,516.3333333333334,782.9666666666667,780.8499999999999,0.28,100.7016666666667,99.96333333333332,100.6933333333333,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,203.7,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27823.0,0.0,234.86,59.26
2097,2097,2097,202.665468,2023-04-05 20:39:55.495664+00:00,0.0,27.78,2.573747841105354,783.0333333333333,15.45,0.0,67.75758251125177,28.8,14.91758842142268,28.8,16.928127143499,60.0,100.0,0.0,57.80333333333333,57.80333333333333,70.0,120.0,35.0,15.45,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.23045319666032,13.12712911274786,2.123737443870945,97.25333333333332,40.15,-56.86,51.53333333333334,51.21666666666667,50.86333333333333,0.0,27.78,0.0,0.2527463700786749,146.0569536091051,137.8932622368027,136.2808915905127,131.9359783442767,128.2529869825347,4.03607234363048,3.911937477228484,-0.180267367439999,0.0008201823534399,-1.76478187552263,-1.671334565476701,137.0785907185406,0.7067632742673382,141.0331426972466,133.9217392356261,149.4853666709091,144.8688899737987,143.7996328317333,148.5179430536197,-2.136010611143628,0.26,8.12,159.46,156.42,157.54,-1.09,2293.694756456735,2293.694756456735,18.22243510934761,19.19604937065146,27.8228166030147,25.15687285323116,13.51120682056541,733.95554564035,727.4763952797172,96.6894878236004,33.82554151827147,27.25300249872952,17.85672765793659,147.1227399866924,144.5701224135559,146.2318992999693,147.7844566053508,142.1027987533918,142.546283476751,143.2398210283463,145.2320044203819,144.822112269474,489.9767488905458,445.045166673156,174.1903392383552,2293.694756456735,170.8279543870213,147.9912821434782,772.9740805435749,754.5041898113469,41.904,40.055,272.0333333333334,51.43333333333333,249.6666666666666,330.6666666666667,60.0,14.66666666666667,90.53333333333332,34.53333333333333,25.0,64.53333333333333,141.8666666666666,142.4666666666667,458.7,516.4666666666667,783.0333333333333,780.9,0.28,100.7833333333333,100.0466666666667,100.7766666666667,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,203.8,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27857.0,0.0,235.14,59.26
2098,2098,2098,202.844178,2023-04-05 20:39:55.674374+00:00,0.0,27.78,2.574191956575376,783.0999999999999,15.475,0.0,66.64332708345931,28.8,14.80646329127925,28.8,16.52612231719893,60.0,100.0,0.0,57.72,57.72,70.0,120.0,35.0,15.475,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.25312755869388,11.81427035125835,2.181174914024324,96.99,40.16,-56.57,51.575,51.26000000000001,50.9,0.0,27.78,0.0,0.2532854171360187,146.0128255289218,137.7099611461661,136.2808915905127,131.8171721527414,128.1884922159404,4.039320733407872,3.908573075082741,-0.2031296666919519,0.0089691231504655,-1.793303110858694,-1.70004264557989,136.98354571446,0.679607834126837,140.9618589141852,133.9794451144064,149.5600449907023,144.7840282929221,143.7622936959509,148.4398702762543,-2.129898919562967,0.26,8.12,159.505,156.42,157.54,-1.09,2293.697803838076,2293.697803838076,18.22127503548685,19.20003684135801,27.31542730772289,24.96767685538647,13.50482789414441,734.0432693673905,727.5989711270064,96.87163138570456,33.86007928927519,27.26828525060643,17.86276170219691,147.2455629278215,144.6876344638266,146.3107890102556,147.8409821422229,142.19518413135,142.6355527211303,143.3046253039488,145.3075803679072,144.9046908238298,490.3345300145259,445.4320395499488,174.3773866697517,2293.697803838076,170.995538906127,148.1739796281657,773.0433173554632,754.5720630478131,41.904,40.055,278.15,46.45,248.55,333.1,60.0,14.65,90.6,34.55,25.0,64.55,141.95,142.55,458.85,516.6,783.0999999999999,780.95,0.28,100.865,100.13,100.86,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,203.9,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27891.0,0.0,235.42,59.26
2099,2099,2099,202.85893099999998,2023-04-05 20:39:55.689127+00:00,0.0,27.78,2.574636072045398,783.1666666666666,15.5,0.0,65.52907165566685,28.8,14.69533816113583,28.8,16.12411749089886,60.0,100.0,0.0,57.63666666666666,57.63666666666666,70.0,120.0,35.0,15.5,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.27580192072745,10.50141158976885,2.238612384177702,96.72666666666667,40.17,-56.28,51.61666666666667,51.30333333333333,50.93666666666667,0.0,27.78,0.0,0.2538244641933626,145.9686974487385,137.5266600555296,136.2808915905127,131.6983659612062,128.1239974493461,4.042569123185264,3.905208672936999,-0.2259919659439049,0.0171180639474911,-1.821824346194759,-1.728750725683079,136.8885007103793,0.6524523939863357,140.8905751311238,134.0371509931867,149.6347233104954,144.6991666120455,143.7249545601685,148.3617974988888,-2.123787227982306,0.26,8.12,159.55,156.42,157.54,-1.09,2293.700851219417,2293.700851219417,18.22011496162609,19.20402431206455,26.80803801243109,24.77848085754177,13.49844896772341,734.1309930944309,727.7215469742955,97.05377494780868,33.89461706027891,27.28356800248334,17.86879574645723,147.3683858689506,144.8051465140974,146.3896787205419,147.897507679095,142.2875695093081,142.7248219655096,143.3694295795513,145.3831563154326,144.9872693781855,490.692311138506,445.8189124267416,174.5644341011482,2293.700851219417,171.1631234252328,148.3566771128532,773.1125541673514,754.6399362842794,41.9422,40.093,284.2666666666667,41.46666666666667,247.4333333333333,335.5333333333333,60.0,14.63333333333333,90.66666666666669,34.56666666666667,25.0,64.56666666666666,142.0333333333333,142.6333333333334,459.0,516.7333333333333,783.1666666666666,781.0,0.28,100.9466666666667,100.2133333333333,100.9433333333333,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,204.0,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27925.0,0.0,235.7,59.26
2100,2100,2100,202.925386,2023-04-05 20:39:55.755582+00:00,0.0,27.78,2.575080187515421,783.2333333333333,15.525,0.0,64.41481622787441,28.8,14.58421303099241,28.8,15.72211266459879,60.0,100.0,0.0,57.55333333333333,57.55333333333333,70.0,120.0,35.0,15.525,60.0,0.0,140.0,0.0,1.0,1.0,0.0,1.0,29.29847628276101,9.188552828279342,2.29604985433108,96.46333333333334,40.18,-55.99,51.65833333333334,51.34666666666666,50.97333333333333,0.0,27.78,0.0,0.2543635112507064,145.9245693685553,137.343358964893,136.2808915905127,131.5795597696709,128.0595026827519,4.045817512962657,3.901844270791256,-0.2488542651958578,0.0252670047445167,-1.850345581530823,-1.757458805786268,136.7934557062986,0.6252969538458345,140.8192913480623,134.094856871967,149.7094016302886,144.614304931169,143.6876154243861,148.2837247215234,-2.117675536401645,0.26,8.12,159.595,156.42,157.54,-1.09,2293.703898600758,2293.703898600758,18.21895488776533,19.2080117827711,26.30064871713928,24.58928485969708,13.49207004130241,734.2187168214714,727.8441228215847,97.23591850991282,33.92915483128263,27.29885075436026,17.87482979071754,147.4912088100797,144.9226585643681,146.4685684308282,147.954033215967,142.3799548872663,142.8140912098889,143.4342338551538,145.4587322629579,145.0698479325413,491.0500922624861,446.2057853035343,174.7514815325447,2293.703898600758,171.3307079443385,148.5393745975406,773.1817909792397,754.7078095207456,41.9804,40.131,290.3833333333333,36.48333333333333,246.3166666666666,337.9666666666666,60.0,14.61666666666667,90.73333333333332,34.58333333333334,25.0,64.58333333333333,142.1166666666666,142.7166666666667,459.15,516.8666666666667,783.2333333333333,781.05,0.28,101.0283333333333,100.2966666666667,101.0266666666667,60.0,50.0,231.0,55.0,0.0,0.0,3.0,0.5,0.5,28.0,30.0,100.0,204.1,120.0,35.0,0.0,0.1,2.0,60.0,140.0,10.0,0.0,27952.5,0.0,235.83,59.26
