_time,ACC_NI_CH1_FFT,ACC_NI_CH1_RMS,ACC_NI_CH2_FFT,ACC_NI_CH2_RMS,ACC_NI_CH3_FFT,ACC_NI_CH3_RMS,CV_PLC_Control_Call,CV_PLC_Control_Mode,CV_PLC_Diag,CV_PLC_Fuel_Call,CV_PLC_Fuel_Signal_AO,CV_PLC_Fuel_Temp_Set,CV_PLC_N1_Max,CV_PLC_N2_Max,CV_PLC_Passive_kW,CV_PLC_Stage,CV_PLC_Target_N2,CV_PLC_Volt_Max,DO_PLC_Air_Valve,DO_PLC_Fuel_Enable,DO_PLC_Fuel_Heater,DO_PLC_Igniter,DO_PLC_System_Enable,D_NI_Displacement_Probe_1,FP_NI_Generator_Cooling_Inlet_1,FP_NI_Oil_Sump_Cooling_Inlet_1,FP_PLC_Fuel_1,FP_PLC_Oil_Inlet_1,F_PLC_Axial_Force_1,I_PLC_Phase_1,I_PLC_Phase_2,I_PLC_Phase_3,N_PLC_N1,N_PLC_N2,N_PLC_spare,P_NI_Bellmouth_2,P_NI_Combustor_Can_1,P_NI_Impeller_Exit_1,P_NI_Impeller_Exit_2,P_NI_Impeller_Exit_3,P_NI_Impeller_Exit_4,P_NI_Inlet_Mass_Flow_2,P_NI_Inlet_Mass_Flow_3,P_NI_LP_Inlet_1,P_NI_LP_Inlet_2,P_NI_LP_Outlet_1,P_NI_LP_Outlet_2,P_NI_Lab_Seal_Downstream_1,P_NI_Lab_Seal_Downstream_2,P_NI_Lab_Seal_Downstream_3,P_NI_Lab_Seal_Downstream_4,P_NI_Lab_Seal_Upstream_1,P_NI_Lab_Seal_Upstream_2,P_NI_Lab_Seal_Upstream_3,P_NI_Lab_Seal_Upstream_4,P_NI_Turbine_Diffuser_Exit_2,P_PLC_Bellmouth_1,P_PLC_Inlet_MF,P_PLC_PT_Exit_1,P_PLC_PT_Exit_2,P_PLC_PT_Exit_3,P_PLC_Turbine_Diffuser_Exit_1,T_NI_Bellmouth_3,T_NI_Bellmouth_4,T_NI_Generator_Cooling_Inlet_1,T_NI_Generator_Cooling_Outlet_1,T_NI_Generator_Stator_1,T_NI_Generator_Stator_2,T_NI_Inlet_2,T_NI_LP_Inlet_1,T_NI_LP_Inlet_2,T_NI_LP_Outlet_2,T_NI_N2_Front_Bearing_21,T_NI_Oil_Sump_Cooling_Inlet_1,T_NI_Oil_Sump_Cooling_Outlet_1,T_NI_PT_Exit_1,T_NI_PT_Exit_2,T_NI_PT_Exit_3,T_NI_PT_Exit_4,T_NI_PT_Outlet_Duct_3,T_NI_PT_Outlet_Duct_4,T_NI_PT_Outlet_Duct_5,T_NI_PT_Outlet_Duct_6,T_NI_PT_Outlet_Duct_7,T_NI_Recuperator_HP_Outlet_3,T_NI_Recuperator_HP_Outlet_4,T_NI_Seal_Bypass_1,T_NI_Seal_Bypass_2,T_NI_Seal_Bypass_3,T_NI_Seal_Bypass_4,T_NI_Turbine_Exit_1,T_NI_Turbine_Exit_2,T_PI_Engine_Frame_1,T_PI_Engine_Frame_2,T_PLC_15,T_PLC_16,T_PLC_Bellmouth_1,T_PLC_Bellmouth_2,T_PLC_Fuel_Inlet_1,T_PLC_Inlet_1,T_PLC_LP_Outlet_1,T_PLC_N2_Front_Bearing_1,T_PLC_Oil_Inlet_1,T_PLC_Oil_Outlet_1,T_PLC_PT_Outlet_Duct_1,T_PLC_PT_Outlet_Duct_2,T_PLC_Recuperator_HP_Outlet_1,T_PLC_Recuperator_HP_Outlet_2,T_PLC_Turbine_Exit_1,T_PLC_Turbine_Exit_2,VF_PLC_Fuel,V_PLC_Phase_1,V_PLC_Phase_2,V_PLC_Phase_3,cc_call,cc_control_mode,cc_et,cc_fuel_manual,cc_fuel_setpoint,cc_lb_set,cc_ll,cc_max_dec,cc_max_inc,cc_n2_setpoint,cc_stage,cv_control_mode,cv_et,cv_n1_max,cv_n2_max,cv_pid_d,cv_pid_i,cv_pid_p,cv_stage,cv_v_max,dt_CW_inv_mc_status,dt_i_mc,dt_n_mc,dt_pwr_mc,dt_u_mc,spare_420,elapsed_sec
2023-04-05 21:59:44.180366+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.091,86.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2023-04-05 21:59:44.522193+00:00,,,,,,,,,,,,,,,,,,,,,,,,30.171703065755104,6.554629944769026,2.6981121621026976,,,,,,,,,,0.001193293819957651,0.570986073564832,0.7237354244133414,0.8934569265856283,0.3164038244758913,0.6558468239069057,0.01331245057768049,-0.02323155647437236,-0.03200193888445213,-0.002575209557308611,-0.026342952554150756,-0.01703536162699182,1.1819834832545553,0.5879582236073944,0.5370417735184816,0.5030974735237876,0.16365447641514663,0.6388746738126301,0.7237354244133414,0.7746518749290487,-0.022947560737977213,,,,,,,2293.7265747914225,2293.7265747914225,28.66898567624861,28.90594801044738,36.078643767310155,36.7236303517638,28.231005777162512,206.51739823264137,206.59064345658732,87.50289654552269,44.8206900880558,29.315163238084928,28.180183779996575,27.495804343283933,27.473942940722743,26.802003678902693,27.091410768263273,25.226738086783712,25.252104371444485,24.902458565459643,25.45847158760487,25.39368344025857,174.46698587999418,188.9833422791734,24.892539528614495,2293.7265747914225,24.610385807429875,24.6267679479696,195.84871357632196,206.56274064820178,92.083,86.63433333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341827
2023-04-05 21:59:44.557577+00:00,0.0,10.10602667298005,0.0,0.25064749882949366,0.0,10.809098729218992,,,,,,,,,,,,,,,,,,30.177415601343014,6.194277950550763,2.717941766868915,,,,,,,,,,0.0011388454031547798,0.6162451406036832,0.6417033662485269,0.8283970177419882,0.33054728270484074,0.6586755155914391,0.013119096036841324,-0.02294152468145742,-0.03332236901769825,-0.006725132934958762,-0.02521115527984256,-0.0164908665448511,1.1678400245293996,0.5907869152833101,0.5540139235675063,0.514412240197295,0.33054728580568593,0.6134164487681618,0.7944527173903188,0.7576797247765583,-0.02577705389563582,,,,,,,2293.721645188424,2293.721645188424,28.668909055187893,28.905564990669685,35.84931521102792,36.50146830834331,28.26871490508221,206.51263142857977,206.58758190154035,87.50764092783024,44.815139473134145,29.3132871601353,28.178037386781753,27.493733272231207,27.469992462278363,26.798856660927896,27.08837970846893,25.222394968268993,25.247799788888436,24.896307148425596,25.45493636258421,25.385690179635027,174.4572052978722,188.97650643308688,24.890194304103645,2293.721645188424,24.60719392993785,24.62519126808517,195.83598022703444,206.5551060701632,92.07499999999999,86.62666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.377211
2023-04-05 21:59:44.695220+00:00,0.0,10.102450231094068,0.0,0.24622055651586738,0.0,10.801785608315296,,,,,,,,,,,,,,,,,,30.183128136930925,5.8339259563325,2.7377713716351324,,,,,,,,,,0.0010843969863519086,0.6615042076425345,0.5596713080837125,0.763337108898348,0.3446907409337901,0.6615042072759726,0.012925741496002155,-0.022651492888542474,-0.03464279915094437,-0.010875056312608914,-0.024079358005534363,-0.015946371462710385,1.1536965658042437,0.5936156069592258,0.5709860736165311,0.5257270068708024,0.49744009519622523,0.5879582237236937,0.865170010367296,0.7407075746240679,-0.028606547053294424,,,,,,,2293.716715585426,2293.716715585426,28.668832434127175,28.90518197089199,35.619986654745695,36.27930626492283,28.306424033001903,206.50786462451816,206.58452034649338,87.5123853101378,44.80958885821249,29.311411082185675,28.175890993566927,27.491662201178478,27.466041983833982,26.795709642953096,27.085348648674586,25.218051849754275,25.243495206332383,24.89015573139155,25.45140113756355,25.377696919011484,174.44742471575023,188.9696705870004,24.887849079592794,2293.716715585426,24.604002052445825,24.62361458820074,195.8232468777469,206.5474714921246,92.067,86.619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.514854
2023-04-05 21:59:44.710686+00:00,0.0,10.098873789208083,0.0,0.24179361420224113,0.0,10.7944724874116,10.0,100.0,0.0,52.0,0.0,70.0,120.0,40.0,0.05,10.0,0.0,145.0,0.0,0.0,0.0,0.0,1.0,30.188840672518836,5.473573962114237,2.75760097640135,0.8,38.73,-81.6,4.03,3.54,3.45,0.0,0.0,0.0,0.0010299485695490372,0.7067632746813857,0.47763924991889795,0.698277200054708,0.3588341991627395,0.664332898960506,0.012732386955162989,-0.022361461095627533,-0.03596322928419049,-0.015024979690259066,-0.02294756073122617,-0.015401876380569668,1.139553107079088,0.5964442986351415,0.5879582236655558,0.5370417735443098,0.6643329045867645,0.5624999986792254,0.9358873033442734,0.7237354244715775,-0.03143604021095303,-0.0,-0.01,2.34,0.58,0.77,-1.13,2293.7117859824275,2293.7117859824275,28.66875581306646,28.9047989511143,35.39065809846346,36.05714422150234,28.3441331609216,206.50309782045656,206.58145879144644,87.51712969244537,44.80403824329084,29.309535004236047,28.173744600352105,27.489591130125753,27.4620915053896,26.7925626249783,27.082317588880244,25.213708731239556,25.239190623776334,24.884004314357504,25.447865912542888,25.36970365838794,174.43764413362823,188.96283474091388,24.885503855081943,2293.7117859824275,24.6008101749538,24.62203790831631,195.81051352845935,206.539836914086,92.06219999999999,86.619,229.3,289.1,451.1,573.9,77.2,32.0,87.0,45.9,30.0,38.9,26.6,26.4,207.3,187.3,202.9,203.5,0.0,4.06,4.05,4.22,10.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,245.4,120.0,40.0,0.0,0.1,2.0,10.0,145.0,,,,,,59.26,0.53032
2023-04-05 21:59:44.765521+00:00,0.0,10.095297347322099,0.0,0.23736667188861488,0.0,10.787159366507906,10.0,100.0,0.0,52.0,0.0,70.0,120.0,40.0,0.05,10.0,0.0,145.0,0.0,0.0,0.0,0.0,1.0,30.194553208106747,5.113221967895974,2.7774305811675677,0.8,38.69,-81.454,4.03,3.538,3.45,0.0,0.0,0.0,0.000975500152746166,0.7520223417202369,0.3956071917540835,0.6332172912110678,0.3729776573916889,0.6671615906450393,0.012539032414323822,-0.02207142930271259,-0.03728365941743661,-0.019174903067909217,-0.021815763456917974,-0.014857381298428951,1.1254096483539324,0.5992729903110572,0.6049303737145806,0.5483565402178172,0.8312257139773038,0.5370417736347571,1.0066045963212507,0.706763274319087,-0.034265533368611635,0.0,-0.01,2.332,0.58,0.77,-1.13,2293.7068563794296,2293.7068563794296,28.668679192005744,28.904415931336608,35.16132954218123,35.83498217808185,28.3818422888413,206.49833101639499,206.57839723639947,87.52187407475292,44.79848762836919,29.307658926286418,28.171598207137283,27.487520059073027,27.458141026945217,26.7894156070035,27.079286529085902,25.209365612724834,25.234886041220285,24.877852897323457,25.44433068752223,25.361710397764398,174.42786355150625,188.95599889482736,24.883158630571096,2293.7068563794296,24.59761829746178,24.620461228431882,195.79778017917184,206.53220233604742,92.0574,86.619,227.42000000000002,292.78000000000003,449.94,571.06,77.18,32.06,87.02,45.9,30.0,38.9,26.6,26.4,207.28,187.32000000000002,202.9,203.5,0.0,4.058,4.048,4.22,10.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,245.4,120.0,40.0,0.0,0.1,2.0,10.0,145.0,10.0,0.0,0.0,0.0,3.1,59.26,0.585155
2023-04-05 21:59:44.990739+00:00,0.0,10.091720905436116,0.0,0.2329397295749886,0.0,10.77984624560421,10.0,100.0,0.0,52.0,0.0,70.0,120.0,40.0,0.05,10.0,0.0,145.0,0.0,0.0,0.0,0.0,1.0,30.200265743694658,4.752869973677711,2.797260185933785,0.8,38.65,-81.30799999999999,4.03,3.536,3.45,0.0,0.0,0.0,0.0009210517359432948,0.797281408759088,0.31357513358926903,0.5681573823674277,0.3871211156206383,0.6699902823295728,0.012345677873484654,-0.021781397509797646,-0.03860408955068273,-0.023324826445559367,-0.02068396618260978,-0.014312886216288234,1.1112661896287765,0.6021016819869729,0.6219025237636053,0.5596713068913246,0.9981185233678431,0.511583548590289,1.077321889298228,0.6897911241665966,-0.03709502652627024,0.0,-0.01,2.324,0.58,0.77,-1.13,2293.7019267764313,2293.7019267764313,28.668602570945026,28.904032911558915,34.932000985899,35.61282013466137,28.419551416760992,206.49356421233338,206.5753356813525,87.52661845706047,44.792937013447535,29.305782848336793,28.169451813922457,27.4854489880203,27.454190548500836,26.7862685890287,27.076255469291556,25.205022494210116,25.230581458664233,24.87170148028941,25.44079546250157,25.353717137140855,174.41808296938427,188.94916304874087,24.880813406060245,2293.7019267764313,24.594426419969754,24.618884548547452,195.78504682988432,206.52456775800883,92.0526,86.619,225.54000000000002,296.46000000000004,448.78000000000003,568.22,77.16,32.12,87.03999999999999,45.9,30.0,38.9,26.6,26.4,207.26,187.34,202.9,203.5,0.0,4.056,4.046,4.22,10.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,245.4,120.0,40.0,0.0,0.1,2.0,10.0,145.0,10.0,0.0,0.0,0.0,3.1,59.26,0.810373
2023-04-05 21:59:45.019190+00:00,0.0,10.0793205417727,0.0,0.2387835716317012,0.0,10.776165812270262,10.0,100.0,0.0,52.0,0.0,70.0,120.0,40.0,0.05,10.0,0.0,145.0,0.0,0.0,0.0,0.0,1.0,30.20597827928257,4.392517979459448,2.8170897907000025,0.8,38.61,-81.162,4.03,3.534,3.45,0.0,0.0,0.0,0.0008666033191404235,0.8425404757979393,0.23154307542445451,0.5030974735237876,0.4012645738495877,0.6728189740141062,0.012152323332645487,-0.021491365716882704,-0.03992451968392885,-0.02747474982320952,-0.01955216890830158,-0.013768391134147517,1.097122730903621,0.6049303736628886,0.6388746738126301,0.570986073564832,1.1650113327583824,0.4861253235458207,1.1480391822752054,0.6728189740141062,-0.03992451968392885,0.0,-0.01,2.316,0.58,0.77,-1.13,2293.696997173433,2293.696997173433,28.66852594988431,28.90364989178122,34.70267242961677,35.39065809124088,28.45726054468069,206.48879740827178,206.57227412630553,87.53136283936803,44.78738639852588,29.303906770387165,28.167305420707635,27.483377916967573,27.450240070056456,26.783121571053904,27.073224409497215,25.200679375695398,25.226276876108184,24.865550063255363,25.43726023748091,25.34572387651731,174.4083023872623,188.94232720265435,24.878468181549394,2293.696997173433,24.59123454247773,24.617307868663023,195.77231348059678,206.51693317997024,92.04780000000001,86.619,223.66,300.14,447.62,565.38,77.14,32.18,87.06,45.9,30.0,38.9,26.6,26.4,207.24,187.36,202.9,203.5,0.0,4.053999999999999,4.044,4.22,10.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,245.4,120.0,40.0,0.0,0.1,2.0,10.0,145.0,10.0,0.0,0.0,0.0,3.1,59.26,0.838824
2023-04-05 21:59:45.211237+00:00,0.0,10.066920178109285,0.0,0.2446274136884138,0.0,10.772485378936317,10.0,100.0,0.0,52.0,0.0,70.0,120.0,40.0,0.05,10.0,0.0,145.0,0.0,0.0,0.0,0.0,1.0,30.205319140555705,3.6776265066790326,2.661188078479298,0.8,38.57,-81.016,4.03,3.532,3.45,0.0,0.0,0.0,0.0010146349526923126,0.808596175415289,0.21881396310538292,0.43520887399895436,0.3927784989025458,0.7449506124649226,0.006786734933969751,-0.017865968252521625,-0.03511438130953648,-0.028606547088520173,-0.022381662086573773,-0.01330897339554682,1.0546923549716087,0.5964442986383744,0.6219025237506806,0.6388746741231088,1.0165050179599948,0.5370417736929305,1.1607682951473368,0.6685759364873061,-0.0370950265356389,0.0,-0.01,2.308,0.58,0.77,-1.13,2293.696997173433,2293.696997173433,28.66852594988431,28.90364989178122,34.88541862110553,35.33690921103883,28.45726054468069,206.48879740827178,206.57227412630553,87.53136283936803,44.78738639852588,29.303906770387165,28.167305420707635,27.483377916967573,27.450240070056456,26.783121571053904,27.073224409497215,25.200679375695398,25.226276876108184,24.865550063255363,25.43726023748091,25.34572387651731,174.4083023872623,188.94232720265435,24.878468181549394,2293.696997173433,24.59123454247773,24.617307868663023,195.77231348059678,206.51693317997024,92.043,86.619,221.78,303.82,446.46000000000004,562.5400000000001,77.11999999999999,32.239999999999995,87.08,45.9,30.0,38.9,26.6,26.4,207.22,187.38,202.9,203.5,0.0,4.052,4.042,4.22,10.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,245.4,120.0,40.0,0.0,0.1,2.0,10.0,145.0,10.0,0.0,0.0,0.0,3.1,59.26,1.030871
2023-04-05 21:59:45.260415+00:00,0.0,10.054519814445868,0.0,0.2504712557451264,0.0,10.76880494560237,10.0,100.0,0.0,52.0,0.0,70.0,120.0,40.0,0.05,10.0,0.0,145.0,0.0,0.0,0.0,0.0,1.0,30.20466000182884,2.9627350338986167,2.505286366258593,0.8,38.53,-80.87,4.03,3.53,3.45,0.0,0.0,0.0,0.0011626665862442015,0.7746518750326388,0.20608485078631134,0.3673202744741211,0.3842924239555039,0.8170822509157389,0.0014211465352940156,-0.014240570788160545,-0.03030424293514411,-0.029738344353830826,-0.025211155264845964,-0.012849555656946121,1.0122619790395966,0.5879582236138603,0.604930373688731,0.7067632746813857,0.8679987031616072,0.5879582238400403,1.1734974080194682,0.664332898960506,-0.034265533387348945,0.0,-0.01,2.3,0.58,0.77,-1.13,2293.696997173433,2293.696997173433,28.66852594988431,28.90364989178122,35.06816481259429,35.28316033083678,28.45726054468069,206.48879740827178,206.57227412630553,87.53136283936803,44.78738639852588,29.303906770387165,28.167305420707635,27.483377916967573,27.450240070056456,26.783121571053904,27.073224409497215,25.200679375695398,25.226276876108184,24.865550063255363,25.43726023748091,25.34572387651731,174.4083023872623,188.94232720265435,24.878468181549394,2293.696997173433,24.59123454247773,24.617307868663023,195.77231348059678,206.51693317997024,92.03725,86.613,219.9,307.5,445.3,559.7,77.1,32.3,87.1,45.9,30.0,38.9,26.6,26.4,207.2,187.4,202.9,203.5,0.0,4.05,4.04,4.22,10.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,245.4,120.0,40.0,0.0,0.1,2.0,10.0,145.0,10.0,0.0,0.0,0.0,3.1,59.26,1.080049
