Date,Player,Ones,Twos,Threes,Fours,Fives,Sixes,3OfKind,4OfKind,FullHouse,SmallStraight,LargeStraight,Yahtzee,Chance,YahtzeeBonus,UserScore,TopTotal,BottomTotal,Score_Total,Score_Error
1/0/1900,Clare,2,6,12,8,15,18,25,27,25,30,40,50,20,0,278,61,217,278,0
1/0/1900,Clare,2,6,6,12,20,18,20,23,25,30,40,0,13,0,250,99,151,250,0
1/0/1900,Clare,4,2,9,12,20,24,15,24,25,30,40,0,19,0,269,106,153,259,-10
1/0/1900,Vi,3,6,3,12,25,12,25,28,25,30,0,0,21,0,190,61,129,190,0
1/0/1900,Vi,1,4,3,8,15,24,13,23,0,30,40,0,23,0,184,55,129,184,0
1/0/1900,Vi,1,4,12,12,20,24,21,28,25,30,40,0,22,0,274,108,166,274,0
1/0/1900,Vi,2,2,12,16,20,18,20,0,25,30,40,50,17,100,387,105,282,387,0
11/23/2023,Charles,3,6,15,12,15,18,21,19,25,30,0,50,25,100,374,104,270,374,0
11/26/2023,Charles,5,4,6,0,15,24,15,0,25,30,40,50,19,100,333,54,279,333,0
11/27/2023,Charles,1,6,6,16,20,18,27,0,25,30,0,0,17,0,201,102,99,201,0
11/27/2023,Charles,3,6,12,12,15,18,23,23,25,30,0,0,21,0,223,101,122,223,0
11/23/2023,Laura,1,2,6,4,10,12,25,0,25,30,40,0,19,0,174,35,139,174,0
11/26/2023,Laura,3,10,6,8,15,18,28,19,25,30,40,0,18,0,220,60,160,220,0
11/27/2023,Laura,1,4,12,12,20,24,24,28,25,30,40,0,16,0,270,108,163,271,1
11/27/2023,Laura,1,4,6,16,20,24,25,26,25,30,40,0,26,0,278,106,172,278,0
11/23/2023,Grey,4,2,6,4,5,18,0,22,25,30,0,0,22,0,138,39,99,138,0
11/26/2023,Grey,3,2,3,16,20,18,28,18,25,30,0,0,23,0,186,62,124,186,0
11/27/2023,Grey,3,2,12,12,15,18,17,27,25,30,0,0,18,0,179,62,117,179,0
11/27/2023,Grey,1,6,12,8,20,18,21,0,25,30,40,50,21,0,287,100,187,287,0
11/23/2023,Jeanne,1,2,9,16,20,24,21,21,25,30,0,50,19,0,273,107,166,273,0
11/26/2023,Jeanne,3,6,9,8,15,24,25,14,25,30,40,0,22,0,256,100,156,256,0
11/27/2023,Jeanne,3,4,12,12,10,12,23,0,25,30,40,50,20,0,241,53,188,241,0
11/27/2023,Jeanne,3,4,3,16,15,24,17,0,25,30,40,0,19,0,231,100,131,231,0
11/23/2023,Clare,2,6,6,16,10,24,20,0,25,30,40,0,19,0,233,99,134,233,0
11/26/2023,Clare,1,4,9,12,20,18,22,22,0,30,40,0,24,0,237,99,138,237,0
