,Fluid,Density,cp,Viscosity,Conductivity,Unnamed: 5,Re,Pr,Nu,Dean,Nu_dean,Fr,H_factor,DeltaT,Necessary Area,PressureDrop
0,Water,997 kg/m^3,4 kJ/(kg*K),.0005465 N*s/m^2,.609 W/(m*K),,29380.699418881886,3.589490968801314,143.94304516863147,6546.342638075376,0.026189996888176983,0.023759249435764244 dimensionless,12.361060867346579 kilowatt / kelvin / meter ** 2,1.3273899582832782 kelvin,11.28546170086962 inch ** 2,3.3636951054240436 force_pound / inch ** 2
1,SAE-20,816.67 kg/m^3,1.8 kJ/(kg*K),.013 N*s/m^2,.15 W/(m*K),,1011.7201228029923,156.0,4.36,225.42235919161558,0.08344648469135933,0.06325860142297716 dimensionless,92.2200842258062 watt / kelvin / meter ** 2,177.92163395631292 kelvin,1512.6886965206356 inch ** 2,7.335925904531247 force_pound / inch ** 2
2,Turbine Oil,.82 kg/liter,2.15 kJ/(kg*K),4.35 millinewton * second / meter^2,.128 W/(m*K),,3035.8599547109234,73.06640624999999,28.781768864179416,676.4229530893182,0.05717996737828155,0.04537708319957024 dimensionless,519.4876376899938 watt / kelvin / meter ** 2,31.584867239585297 kelvin,268.5343574697447 inch ** 2,5.283712477791474 force_pound / inch ** 2
3,Aeroshell-12,922.3 kg/m^3,2.15 kJ/(kg*K),7.562245 millinewton * second / meter^2,.128 W/(m*K),,1964.1678734291204,127.022083984375,4.36,437.6381826330334,0.06641946606423074,0.03258377293803626 dimensionless,78.69447187268796 watt / kelvin / meter ** 2,208.50191479255417 kelvin,1772.68206623512 inch ** 2,4.267389922454761 force_pound / inch ** 2
