,Fluid,Density,cp,Viscosity,Conductivity,Unnamed: 5,Re,Pr,Nu,Dean,Nu_dean,Fr,H_factor,DeltaT,Necessary Area,PressureDrop,Q_20
0,Water,997 kg/m^3,4 kJ/(kg*K),.00089 N*s/m^2,.609 W/(m*K),,14468.938079101123,5.845648604269294,99.2682223023794,4314.187381315381,0.03232471276411522,0.028456543848390622 dimensionless,4.760184833240083 kilowatt / kelvin / meter ** 2,414.6637624074099 millikelvin,19.537095566322837 inch ** 2,3.007939345839681 force_pound / inch ** 2,86.81732831196801 kilowatt
1,SAE-20,816.67 kg/m^3,1.8 kJ/(kg*K),.013 N*s/m^2,.15 W/(m*K),,811.399538488,156.0,4.36,241.93410953953867,0.08708595698161489,0.0788760616246598 dimensionless,51.496062992125985 watt / kelvin / meter ** 2,38.33062253725762 kelvin,1805.9669146861231 inch ** 2,6.829416254860747 force_pound / inch ** 2,939.1968514210215 watt
2,Kerosene,810 kg/m^3,2.01 kJ/(kg*K),0.00164 N*s/m^2,.145 W/(m*K),,6379.294873170731,22.733793103448278,44.3188719581302,1902.1073483806651,0.04284331666486104,0.0358559086192183 dimensionless,506.00286881329754 watt / kelvin / meter ** 2,3.9009188966364006 kelvin,183.79379195710996 inch ** 2,3.07919728555184 force_pound / inch ** 2,9.228594839805899 kilowatt
