,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,elapsed_sec,_time,N1,N2,PR,Turbine_Exit,Power,ACC_NI_CH1_FFT,ACC_NI_CH1_RMS,ACC_NI_CH2_FFT,ACC_NI_CH2_RMS,ACC_NI_CH3_FFT,ACC_NI_CH3_RMS,CV_PLC_Control_Call,CV_PLC_Control_Mode,CV_PLC_Diag,CV_PLC_Fuel_Call,CV_PLC_Fuel_Signal_AO,CV_PLC_Fuel_Temp_Set,CV_PLC_N1_Max,CV_PLC_N2_Max,CV_PLC_Passive_kW,CV_PLC_Stage,CV_PLC_Target_N2,CV_PLC_Volt_Max,DO_PLC_Air_Valve,DO_PLC_Fuel_Enable,DO_PLC_Fuel_Heater,DO_PLC_Igniter,DO_PLC_System_Enable,D_NI_Displacement_Probe_1,FP_NI_Generator_Cooling_Inlet_1,FP_NI_Oil_Sump_Cooling_Inlet_1,FP_PLC_Fuel_1,FP_PLC_Oil_Inlet_1,F_PLC_Axial_Force_1,I_PLC_Phase_1,I_PLC_Phase_2,I_PLC_Phase_3,N_PLC_N1,N_PLC_N2,N_PLC_spare,P_NI_Bellmouth_2,P_NI_Combustor_Can_1,P_NI_Impeller_Exit_1,P_NI_Impeller_Exit_2,P_NI_Impeller_Exit_3,P_NI_Impeller_Exit_4,P_NI_Inlet_Mass_Flow_2,P_NI_Inlet_Mass_Flow_3,P_NI_LP_Inlet_1,P_NI_LP_Inlet_2,P_NI_LP_Outlet_1,P_NI_LP_Outlet_2,P_NI_Lab_Seal_Downstream_1,P_NI_Lab_Seal_Downstream_2,P_NI_Lab_Seal_Downstream_3,P_NI_Lab_Seal_Downstream_4,P_NI_Lab_Seal_Upstream_1,P_NI_Lab_Seal_Upstream_2,P_NI_Lab_Seal_Upstream_3,P_NI_Lab_Seal_Upstream_4,P_NI_Turbine_Diffuser_Exit_2,P_PLC_Bellmouth_1,P_PLC_Inlet_MF,P_PLC_PT_Exit_1,P_PLC_PT_Exit_2,P_PLC_PT_Exit_3,P_PLC_Turbine_Diffuser_Exit_1,T_NI_Bellmouth_3,T_NI_Bellmouth_4,T_NI_Generator_Cooling_Inlet_1,T_NI_Generator_Cooling_Outlet_1,T_NI_Generator_Stator_1,T_NI_Generator_Stator_2,T_NI_Inlet_2,T_NI_LP_Inlet_1,T_NI_LP_Inlet_2,T_NI_LP_Outlet_2,T_NI_N2_Front_Bearing_21,T_NI_Oil_Sump_Cooling_Inlet_1,T_NI_Oil_Sump_Cooling_Outlet_1,T_NI_PT_Exit_1,T_NI_PT_Exit_2,T_NI_PT_Exit_3,T_NI_PT_Exit_4,T_NI_PT_Outlet_Duct_3,T_NI_PT_Outlet_Duct_4,T_NI_PT_Outlet_Duct_5,T_NI_PT_Outlet_Duct_6,T_NI_PT_Outlet_Duct_7,T_NI_Recuperator_HP_Outlet_3,T_NI_Recuperator_HP_Outlet_4,T_NI_Seal_Bypass_1,T_NI_Seal_Bypass_2,T_NI_Seal_Bypass_3,T_NI_Seal_Bypass_4,T_NI_Turbine_Exit_1,T_NI_Turbine_Exit_2,T_PI_Engine_Frame_1,T_PI_Engine_Frame_2,T_PLC_15,T_PLC_16,T_PLC_Bellmouth_1,T_PLC_Bellmouth_2,T_PLC_Fuel_Inlet_1,T_PLC_Inlet_1,T_PLC_LP_Outlet_1,T_PLC_N2_Front_Bearing_1,T_PLC_Oil_Inlet_1,T_PLC_Oil_Outlet_1,T_PLC_PT_Outlet_Duct_1,T_PLC_PT_Outlet_Duct_2,T_PLC_Recuperator_HP_Outlet_1,T_PLC_Recuperator_HP_Outlet_2,T_PLC_Turbine_Exit_1,T_PLC_Turbine_Exit_2,VF_PLC_Fuel,V_PLC_Phase_1,V_PLC_Phase_2,V_PLC_Phase_3,cc_call,cc_control_mode,cc_et,cc_fuel_manual,cc_fuel_setpoint,cc_lb_set,cc_ll,cc_max_dec,cc_max_inc,cc_n2_setpoint,cc_stage,cv_control_mode,cv_et,cv_n1_max,cv_n2_max,cv_pid_d,cv_pid_i,cv_pid_p,cv_stage,cv_v_max,dt_CW_inv_mc_status,dt_i_mc,dt_n_mc,dt_pwr_mc,dt_u_mc,spare_420,I_PLC,kw_4wi,kw_dt,kw_lb
0,326,326,326,0.0,2023-04-05 22:00:20.464668+00:00,0.0,0.096,1.063972366148532,202.68,0.05,0.0,14.81437456262791,90.56,1.515344343101358,0.0,10.88631878547256,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.47385228533077,1.782394808806669,2.716984476304925,2.65,39.06,-82.40599999999999,0.0,0.0,0.0,0.0,0.096,0.0,0.0019691837684686,3.300107967940889,6.317756830284729,5.082184016486918,8.334048886258095,12.54653848004314,-0.0242756616450523,8.32502613147969,-0.0073287581999089,-0.0299647037791704,-0.1220929962109934,-0.1097356001822374,3.88395000963867,0.6897911241601307,3.45625176819192,3.744778359233029,5.173833645749873,9.06724604596188,7.234253195019376,6.310967969385034,-0.114396775608585,0.0,0.362,6.482,4.304,4.390000000000001,-1.13,2293.696549029959,2293.696549029959,28.71840509495206,28.86871787280341,38.52959287827687,36.73223017386299,14.59453211696866,205.6762765673563,205.9032566572769,89.01192985677534,44.23718172363665,29.33423004222718,28.20984940487621,26.19784121165341,25.75769165167213,25.82361033146531,26.41600553646728,25.23826828983667,25.15017442544235,24.80741663214119,25.80355857271899,25.69914510603665,172.6766613704705,188.0173772369775,24.87800682282447,2293.696549029959,24.85470795266738,24.75297139624448,194.7557618672219,205.8095356262543,91.0864,85.94839999999999,104.72,223.34,388.78,503.06,71.86,21.68,87.54,45.38,29.9,38.6,26.52,26.48,206.4,186.52,202.68,202.98,0.332,4.266,4.266,4.434,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,2.92,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,3.1,59.26,0.0,0.0,-0.0,0.144
1,327,327,327,0.0550810000000012,2023-04-05 22:00:20.519749+00:00,0.0,0.132,1.06418948926721,202.66,0.05,0.0,14.87989065075666,107.04,1.518303169261009,0.0,10.89654188251593,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.3773543556951,1.541157440026105,2.763754991314686,3.46,38.98,-82.49199999999999,0.0,0.002000000000000224,-0.0019999999999997797,0.0,0.132,0.0,0.0021325290210156,3.320474550481954,6.324545692094723,5.034661986400081,8.412120804193272,12.55332734391251,-0.0748572131485216,8.29613815195536,-0.0093659933382461,-0.0263429525541507,-0.1248093093681461,-0.1121858256116978,3.931472036758954,0.7067632742673382,3.473223920435537,3.65991759628475,5.136494907690867,9.158895691913033,7.241042057125213,6.409406464958416,-0.1123595407393818,0.0,0.434,6.504,4.318000000000001,4.42,-1.13,2293.696549029959,2293.696549029959,28.71840509495206,28.86871787280341,39.13158037970993,36.85262767018196,14.59453211696866,205.6762765673563,205.9032566572769,89.01192985677534,44.23718172363665,29.33423004222718,28.20984940487621,26.19784121165341,25.75769165167213,25.82361033146531,26.41600553646728,25.23826828983667,25.15017442544235,24.80741663214119,25.80355857271899,25.69914510603665,172.6766613704705,188.0173772369775,24.87800682282447,2293.696549029959,24.85470795266738,24.75297139624448,194.7557618672219,205.8095356262543,91.0822,85.9442,95.94,217.68,389.96,505.22,71.72,21.36,87.58,45.36,29.9,38.6,26.54,26.46,206.4,186.54,202.66,202.96,0.334,4.272,4.272,4.438,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,3.04,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,3.2875,59.26,4.440892098500626e-19,5.329070518200751e-17,-0.0,0.144
2,328,328,328,0.3440530000000024,2023-04-05 22:00:20.808721+00:00,0.0,0.1679999999999999,1.064406612385887,202.64,0.05,0.0,14.9454067388854,123.52,1.52126199542066,0.0,10.9067649795593,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.39053713154163,2.400668332233232,2.634520677241861,4.27,38.9,-82.578,0.0,0.0040000000000000036,-0.0040000000000000036,0.0,0.1679999999999999,0.0,0.0020457518552137,3.299259360326726,6.422135581594928,5.128008831510632,8.373933452810723,12.60848686320277,-0.043098731187159,8.177366968579188,-0.011063689269966,-0.0277576991367261,-0.1219798164998327,-0.1107054811322288,3.999360647731409,0.7152493493435799,3.481709996580588,3.77872266455247,5.285001253663889,9.09949314329362,7.347118028690955,6.294844422604406,-0.112076591450132,0.0,0.506,6.526,4.332,4.45,-1.13,2293.699013822951,2293.699013822951,28.72058868364368,28.86808586783922,38.04585294391508,36.60538281313283,14.41279676875398,205.6165635482181,205.8702913764374,89.34886786751065,44.23876832500773,29.33957094233165,28.21105670716376,25.99697469603356,25.57058260922876,25.90438068030879,26.56730312669713,25.28865031714913,25.08507367137065,24.69723779634001,25.735903572811,25.69637903816356,172.681375804495,188.0384679172834,24.81288976793858,2293.699013822951,24.89899573902014,24.758104554586,194.7639734181861,205.7804070598379,91.078,85.94,87.16,212.02,391.14,507.38,71.58,21.04,87.62,45.34,29.9,38.6,26.56,26.44,206.4,186.56,202.64,202.94,0.336,4.278,4.278,4.442,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,3.16,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,3.475,59.26,0.0,0.0,-0.0,0.144
3,329,329,329,0.373537000000006,2023-04-05 22:00:20.838205+00:00,0.0,0.204,1.064623735504564,202.62,0.05,0.0,15.01092282701415,140.0,1.524220821580312,0.0,10.91698807660267,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.40371990738817,3.260179224440359,2.505286363169035,5.08,38.82,-82.664,0.0,0.006000000000000227,-0.005999999999999783,0.0,0.204,0.0,0.0019589746894118,3.278044170171498,6.519725471095132,5.221355676621183,8.335746101428175,12.66364638249304,-0.0113402492257963,8.058595785203018,-0.0127613852016859,-0.0291724457193014,-0.1191503236315192,-0.1092251366527599,4.067249258703864,0.7237354244198215,3.490196072725638,3.897527732820192,5.433507599636911,9.040090594674211,7.453194000256698,6.180282380250397,-0.1117936421608822,0.0,0.5780000000000001,6.548,4.346,4.48,-1.13,2293.701478615943,2293.701478615943,28.72277227233529,28.86745386287502,36.96012550812023,36.35813795608371,14.23106142053931,205.5568505290799,205.8373260955978,89.68580587824594,44.24035492637881,29.34491184243614,28.21226400945132,25.7961081804137,25.38347356678538,25.98515102915227,26.71860071692698,25.33903234446158,25.01997291729897,24.58705896053884,25.66824857290302,25.69361297029046,172.6860902385194,188.0595585975893,24.74777271305269,2293.701478615943,24.9432835253729,24.76323771292752,194.7721849691504,205.7512784934215,91.0788,85.93599999999999,78.38,206.36,392.32,509.54,71.44,20.72,87.66,45.32,29.9,38.6,26.58,26.42,206.4,186.58,202.62,202.92,0.338,4.284,4.284,4.446,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,3.28,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,3.6625,59.26,4.440892098500626e-19,5.329070518200751e-17,-0.0,0.144
4,330,330,330,0.546204000000003,2023-04-05 22:00:21.010872+00:00,0.0,0.24,1.064840858623242,202.6,0.05,0.0,14.66123598519026,136.5333333333333,1.444966053352544,0.0,10.89794241468817,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.41690268323471,4.119690116647486,2.37605204909621,5.89,38.74,-82.75,0.0,0.008000000000000007,-0.008000000000000007,0.0,0.24,0.0,0.00187219752361,3.256828980016269,6.617315360595336,5.314702521731734,8.297558750045626,12.71880590178331,0.0204182327355663,7.939824601826846,-0.0144590811334057,-0.0305871923018767,-0.1163208307632057,-0.1077447921732909,4.135137869676319,0.7322214994960632,3.498682148870689,4.016332801087911,5.582013945609933,8.980688046054802,7.55926997182244,6.065720337896387,-0.1115106928716325,0.0,0.65,6.57,4.36,4.51,-1.13,2293.703943408936,2293.703943408936,28.7249558610269,28.86682185791084,35.87439807232538,36.11089309903458,14.04932607232463,205.4971375099417,205.8043608147583,90.02274388898124,44.24194152774989,29.35025274254062,28.21347131173887,25.59524166479385,25.19636452434201,26.06592137799576,26.86989830715683,25.38941437177404,24.95487216322728,24.47688012473765,25.60059357299505,25.69084690241737,172.6908046725439,188.0806492778952,24.68265565816679,2293.703943408936,24.98757131172566,24.76837087126904,194.7803965201146,205.7221499270051,91.0796,85.932,69.6,200.7,393.5,511.7,71.3,20.4,87.7,45.3,29.9,38.6,26.6,26.4,206.4,186.6,202.6,202.9,0.34,4.29,4.29,4.45,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,3.4,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,3.85,59.26,0.0,0.0,-0.0,0.144
5,331,331,331,0.5615850000000009,2023-04-05 22:00:21.026253+00:00,0.0,0.24,1.065153384324369,202.6,0.05,0.0,14.31154914336637,133.0666666666667,1.365711285124777,0.0,10.87889675277367,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.43008545908125,4.979201008854613,2.246817735023384,7.118333333333333,38.8,-82.75,0.0,0.011333333333333417,-0.004666666666667041,0.0,0.24,0.0,0.0017854203578081,3.235613789861041,6.714905250095541,5.408049366842285,8.259371398663077,12.77396542107358,0.0521767146969289,7.821053418450674,-0.0161567770651256,-0.0320019388844521,-0.1134913378948923,-0.1062644476938219,4.203026480648774,0.7407075745723048,3.507168225015739,4.135137869355631,5.730520291582955,8.921285497435392,7.665345943388182,5.951158295542378,-0.1112277435823827,0.0,0.6016666666666667,6.601666666666667,4.385,4.523333333333333,-1.13,2293.706408201928,2293.706408201928,28.72713944971852,28.86618985294664,34.78867063653053,35.86364824198546,13.86759072410996,205.4374244908035,205.7713955339188,90.35968189971656,44.24352812912097,29.3555936426451,28.21467861402643,25.39437514917399,25.00925548189864,26.14669172683924,27.02119589738668,25.4397963990865,24.8897714091556,24.36670128893648,25.53293857308707,25.68808083454428,172.6955191065684,188.1017399582012,24.6175386032809,2293.706408201928,25.03185909807842,24.77350402961056,194.7886080710789,205.6930213605888,91.0804,85.928,68.06666666666666,198.6,390.6666666666667,511.15,71.16666666666666,20.2,87.73333333333333,45.3,29.9,38.61666666666667,26.6,26.41666666666666,206.4333333333333,186.6333333333333,202.6,202.9,0.34,4.31,4.306666666666667,4.471666666666667,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,3.483333333333333,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,4.0375,59.26,6.666666666666376e-06,0.0007999999999999651,-0.0,0.144
6,332,332,332,0.8102260000000001,2023-04-05 22:00:21.274894+00:00,0.0,0.24,1.065465910025496,202.6,0.05,0.0,13.96186230154248,129.6,1.28645651689701,0.0,10.85985109085917,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.53818423422384,5.024330476471829,2.202713964262906,8.346666666666666,38.86,-82.75,0.0,0.014666666666666384,-0.0013333333333327424,0.0,0.24,0.0,0.0018364657493868,3.261072018057263,6.56215585863278,5.658388641371317,8.284829632886849,12.82912494097425,0.0223034392253951,7.857453349494083,-0.0167226757060303,-0.0263429524979006,-0.1129254393167649,-0.1055497986007413,4.236970786455895,0.7322214994960632,3.558084682165276,4.147866983968083,5.649902560397788,8.989174124484952,7.673832021206541,6.031776028791837,-0.1157549321657365,0.0,0.5533333333333333,6.633333333333334,4.41,4.536666666666666,-1.13,2293.706408201928,2293.706408201928,28.72713944971852,28.86618985294664,35.21866168294756,36.1538922053721,13.86759072410996,205.4374244908035,205.7713955339188,90.35968189971656,44.24352812912097,29.3555936426451,28.21467861402643,25.39437514917399,25.00925548189864,26.14669172683924,27.02119589738668,25.4397963990865,24.8897714091556,24.36670128893648,25.53293857308707,25.68808083454428,172.6955191065684,188.1017399582012,24.6175386032809,2293.706408201928,25.03185909807842,24.77350402961056,194.7886080710789,205.6930213605888,91.0812,85.924,66.53333333333333,196.5,387.8333333333333,510.6,71.03333333333333,20.0,87.76666666666667,45.3,29.9,38.63333333333333,26.6,26.43333333333333,206.4666666666667,186.6666666666666,202.6,202.9,0.34,4.33,4.323333333333333,4.493333333333333,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,3.566666666666666,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,4.225,59.26,1.3333333333333642e-05,0.001600000000000037,-0.0,0.144
7,333,333,333,0.8585840000000005,2023-04-05 22:00:21.323252+00:00,0.0,0.24,1.065778435726622,202.6,0.05,0.0,13.76226875213677,117.12,1.262490449357145,0.0,10.85783593661344,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.64628300936644,5.069459944089045,2.158610193502427,9.575,38.92,-82.75,0.0,0.018000000000000238,0.002000000000000224,0.0,0.24,0.0,0.0018875111409656,3.286530246253484,6.409406467170019,5.90872791590035,8.31028786711062,12.88428446087492,-0.0075698362461387,7.893853280537492,-0.017288574346935,-0.0206839661113491,-0.1123595407386375,-0.1048351495076607,4.270915092263017,0.7237354244198215,3.609001139314813,4.160596098580534,5.56928482921262,9.057062751534511,7.682318099024901,6.112393762041297,-0.1202821207490902,0.0,0.505,6.665,4.435,4.55,-1.13,2293.706408201928,2293.706408201928,28.72713944971852,28.86618985294664,35.64865272936458,36.44413616875875,13.86759072410996,205.4374244908035,205.7713955339188,90.35968189971656,44.24352812912097,29.3555936426451,28.21467861402643,25.39437514917399,25.00925548189864,26.14669172683924,27.02119589738668,25.4397963990865,24.8897714091556,24.36670128893648,25.53293857308707,25.68808083454428,172.6955191065684,188.1017399582012,24.6175386032809,2293.706408201928,25.03185909807842,24.77350402961056,194.7886080710789,205.6930213605888,91.082,85.92,65.0,194.4,385.0,510.05,70.9,19.8,87.80000000000001,45.3,29.9,38.65000000000001,26.6,26.45,206.5,186.7,202.6,202.9,0.34,4.35,4.34,4.515000000000001,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,3.65,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,4.4125,59.26,2.0000000000000462e-05,0.0024000000000000553,-0.0,0.144
8,334,334,334,1.053957000000004,2023-04-05 22:00:21.518625+00:00,0.0,0.24,1.066090961427749,202.6,0.05,0.0,13.56267520273106,104.64,1.238524381817281,0.0,10.85582078236771,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.75438178450904,5.114589411706262,2.114506422741948,10.80333333333333,38.98,-82.75,0.0,0.021333333333333204,0.00533333333333319,0.0,0.24,0.0,0.0019385565325444,3.311988474449706,6.256657075707258,6.159067190429383,8.335746101334392,12.93944398077559,-0.0374431117176725,7.930253211580901,-0.0178544729878398,-0.0150249797247976,-0.1117936421605101,-0.1041205004145801,4.304859398070139,0.7152493493435799,3.65991759646435,4.173325213192985,5.488667098027452,9.124951378584074,7.69080417684326,6.193011495290756,-0.124809309332444,0.0,0.4566666666666666,6.696666666666666,4.46,4.563333333333333,-1.13,2293.706408201928,2293.706408201928,28.72713944971852,28.86618985294664,36.07864377578161,36.73438013214539,13.86759072410996,205.4374244908035,205.7713955339188,90.35968189971656,44.24352812912097,29.3555936426451,28.21467861402643,25.39437514917399,25.00925548189864,26.14669172683924,27.02119589738668,25.4397963990865,24.8897714091556,24.36670128893648,25.53293857308707,25.68808083454428,172.6955191065684,188.1017399582012,24.6175386032809,2293.706408201928,25.03185909807842,24.77350402961056,194.7886080710789,205.6930213605888,91.082,85.92,63.46666666666666,192.3,382.1666666666667,509.5,70.76666666666667,19.6,87.83333333333334,45.3,29.9,38.66666666666667,26.6,26.46666666666667,206.5333333333333,186.7333333333333,202.6,202.9,0.34,4.37,4.356666666666666,4.536666666666667,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,3.733333333333333,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,4.6,59.26,2.6666666666666396e-05,0.0031999999999999676,-0.0,0.144
9,335,335,335,1.0575620000000043,2023-04-05 22:00:21.522230+00:00,0.0,0.24,1.066403487128876,202.6,0.05,0.0,13.36308165332535,92.16,1.214558314277416,0.0,10.85380562812197,30.0,100.0,0.0,52.0,52.0,70.0,120.0,40.0,0.05,30.0,0.0,145.0,1.0,1.0,0.0,1.0,1.0,30.86248055965164,5.159718879323478,2.070402651981469,12.03166666666667,39.04,-82.75,0.0,0.02466666666666617,0.008666666666667044,0.0,0.24,0.0,0.0019896019241231,3.337446702645927,6.103907684244497,6.409406464958416,8.361204335558163,12.99460350067626,-0.0673163871892064,7.96665314262431,-0.0184203716287445,-0.0093659933382461,-0.1112277435823827,-0.1034058513214994,4.338803703877261,0.7067632742673382,3.710834053613887,4.186054327805437,5.408049366842285,9.192840005633634,7.699290254661619,6.273629228540216,-0.1293364979157978,0.0,0.4083333333333333,6.728333333333333,4.484999999999999,4.576666666666666,-1.13,2293.706408201928,2293.706408201928,28.72713944971852,28.86618985294664,36.50863482219864,37.02462409553203,13.86759072410996,205.4374244908035,205.7713955339188,90.35968189971656,44.24352812912097,29.3555936426451,28.21467861402643,25.39437514917399,25.00925548189864,26.14669172683924,27.02119589738668,25.4397963990865,24.8897714091556,24.36670128893648,25.53293857308707,25.68808083454428,172.6955191065684,188.1017399582012,24.6175386032809,2293.706408201928,25.03185909807842,24.77350402961056,194.7886080710789,205.6930213605888,91.082,85.92,61.93333333333333,190.2,379.3333333333333,508.95,70.63333333333333,19.4,87.86666666666667,45.3,29.9,38.68333333333334,26.6,26.48333333333333,206.5666666666666,186.7666666666667,202.6,202.9,0.34,4.390000000000001,4.373333333333333,4.558333333333334,30.0,50.0,231.0,52.0,0.0,0.0,2.0,0.5,0.5,18.0,30.0,100.0,3.816666666666666,120.0,40.0,0.0,0.1,2.0,30.0,145.0,10.0,0.0,0.0,0.0,4.75,59.26,3.333333333333321e-05,0.003999999999999985,-0.0,0.144
